<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	01:05:00	2624.59	2625.09	2623.84	2624.78	170	0	102
2025.01.02	01:10:00	2624.80	2624.80	2623.84	2624.45	196	0	63
2025.01.02	01:15:00	2624.49	2624.69	2624.08	2624.18	171	0	59
2025.01.02	01:20:00	2624.18	2624.19	2623.31	2623.50	271	0	35
2025.01.02	01:25:00	2623.62	2624.07	2623.47	2623.68	175	0	39
2025.01.02	01:30:00	2623.60	2623.80	2622.72	2622.83	206	0	35
2025.01.02	01:35:00	2622.85	2623.64	2622.19	2622.64	125	0	35
2025.01.02	01:40:00	2622.64	2622.65	2621.28	2621.28	103	0	37
2025.01.02	01:45:00	2621.31	2623.11	2621.24	2622.94	207	0	35
2025.01.02	01:50:00	2622.93	2623.87	2622.86	2623.54	158	0	41
2025.01.02	01:55:00	2623.53	2624.26	2623.32	2623.66	155	0	37
2025.01.02	02:00:00	2623.76	2624.00	2622.63	2622.74	288	0	35
2025.01.02	02:05:00	2622.89	2625.43	2622.74	2625.43	234	0	35
2025.01.02	02:10:00	2625.47	2626.10	2625.00	2625.66	390	0	35
2025.01.02	02:15:00	2625.67	2625.69	2625.12	2625.53	482	0	35
2025.01.02	02:20:00	2625.54	2626.39	2625.45	2626.13	430	0	35
2025.01.02	02:25:00	2626.13	2626.32	2625.65	2626.28	393	0	35
2025.01.02	02:30:00	2626.24	2626.30	2625.33	2625.63	486	0	35
2025.01.02	02:35:00	2625.60	2626.33	2625.49	2626.20	414	0	35
2025.01.02	02:40:00	2626.26	2627.44	2625.97	2626.67	288	0	35
2025.01.02	02:45:00	2626.67	2627.72	2626.66	2626.71	306	0	35
2025.01.02	02:50:00	2626.71	2627.21	2626.42	2626.60	304	0	35
2025.01.02	02:55:00	2626.62	2626.71	2625.35	2625.41	511	0	22
2025.01.02	03:00:00	2625.44	2627.20	2623.77	2627.13	1398	0	20
2025.01.02	03:05:00	2627.22	2630.40	2627.10	2629.54	1206	0	20
2025.01.02	03:10:00	2629.47	2630.82	2629.44	2629.55	757	0	23
2025.01.02	03:15:00	2629.42	2631.97	2629.34	2631.38	927	0	21
2025.01.02	03:20:00	2631.34	2631.65	2629.80	2631.41	796	0	31
2025.01.02	03:25:00	2631.41	2632.93	2630.36	2632.53	725	0	20
2025.01.02	03:30:00	2632.53	2634.25	2632.53	2634.09	801	0	20
2025.01.02	03:35:00	2634.15	2634.40	2632.55	2633.17	673	0	20
2025.01.02	03:40:00	2633.33	2633.94	2632.39	2633.49	484	0	20
2025.01.02	03:45:00	2633.19	2633.52	2631.75	2632.23	949	0	20
2025.01.02	03:50:00	2632.22	2632.88	2631.61	2632.51	865	0	20
2025.01.02	03:55:00	2632.43	2633.38	2632.14	2632.99	703	0	20
2025.01.02	04:00:00	2632.96	2634.77	2632.58	2633.66	775	0	20
2025.01.02	04:05:00	2633.88	2634.56	2633.26	2634.22	854	0	20
2025.01.02	04:10:00	2634.28	2634.77	2633.42	2634.58	652	0	20
2025.01.02	04:15:00	2634.58	2634.63	2633.88	2634.26	442	0	20
2025.01.02	04:20:00	2634.25	2636.49	2634.05	2635.72	382	0	20
2025.01.02	04:25:00	2635.72	2635.81	2634.67	2635.52	320	0	20
2025.01.02	04:30:00	2635.43	2635.43	2634.09	2635.23	1002	0	20
2025.01.02	04:35:00	2635.21	2635.77	2634.07	2635.23	676	0	20
2025.01.02	04:40:00	2635.20	2635.42	2632.65	2633.44	992	0	20
2025.01.02	04:45:00	2633.42	2633.62	2632.29	2632.93	1110	0	20
2025.01.02	04:50:00	2632.93	2634.42	2632.60	2634.02	794	0	20
2025.01.02	04:55:00	2634.04	2635.34	2633.79	2634.67	678	0	20
2025.01.02	05:00:00	2634.69	2635.34	2633.86	2634.12	700	0	20
2025.01.02	05:05:00	2634.12	2634.26	2633.50	2633.75	739	0	20
2025.01.02	05:10:00	2633.76	2633.85	2633.07	2633.10	845	0	22
2025.01.02	05:15:00	2633.07	2634.08	2632.93	2633.46	802	0	21
2025.01.02	05:20:00	2633.52	2634.73	2633.05	2634.22	700	0	20
2025.01.02	05:25:00	2634.21	2634.34	2633.27	2633.33	849	0	20
2025.01.02	05:30:00	2633.31	2634.22	2633.06	2633.86	629	0	20
2025.01.02	05:35:00	2633.89	2633.89	2632.30	2632.35	736	0	24
2025.01.02	05:40:00	2632.35	2633.48	2632.22	2633.37	408	0	20
2025.01.02	05:45:00	2633.37	2633.80	2633.07	2633.27	318	0	20
2025.01.02	05:50:00	2633.24	2633.24	2632.70	2632.75	372	0	24
2025.01.02	05:55:00	2632.76	2633.63	2632.70	2633.59	211	0	28
2025.01.02	06:00:00	2633.59	2633.63	2632.33	2633.05	286	0	20
2025.01.02	06:05:00	2633.05	2633.05	2632.13	2632.74	245	0	20
2025.01.02	06:10:00	2632.74	2633.22	2632.27	2632.29	206	0	20
2025.01.02	06:15:00	2632.26	2632.95	2632.26	2632.50	134	0	20
2025.01.02	06:20:00	2632.44	2632.96	2632.05	2632.53	226	0	20
2025.01.02	06:25:00	2632.53	2633.17	2632.31	2632.37	334	0	20
2025.01.02	06:30:00	2632.37	2632.83	2632.07	2632.38	352	0	20
2025.01.02	06:35:00	2632.50	2632.68	2632.05	2632.18	210	0	20
2025.01.02	06:40:00	2632.18	2632.49	2632.00	2632.20	163	0	20
2025.01.02	06:45:00	2632.19	2632.78	2631.06	2632.58	574	0	20
2025.01.02	06:50:00	2632.56	2633.89	2632.55	2633.84	284	0	20
2025.01.02	06:55:00	2633.84	2634.21	2633.59	2633.98	514	0	20
2025.01.02	07:00:00	2634.00	2634.34	2633.24	2633.27	443	0	20
2025.01.02	07:05:00	2633.17	2633.70	2633.10	2633.45	226	0	20
2025.01.02	07:10:00	2633.45	2634.02	2633.15	2633.35	392	0	20
2025.01.02	07:15:00	2633.35	2634.26	2633.35	2634.23	411	0	20
2025.01.02	07:20:00	2634.23	2634.28	2633.64	2634.19	389	0	20
2025.01.02	07:25:00	2634.22	2635.32	2634.18	2634.88	499	0	20
2025.01.02	07:30:00	2634.74	2635.82	2634.58	2635.47	987	0	20
2025.01.02	07:35:00	2635.45	2636.09	2635.01	2635.70	527	0	20
2025.01.02	07:40:00	2635.70	2636.43	2634.88	2634.96	450	0	20
2025.01.02	07:45:00	2634.95	2635.02	2634.08	2635.02	688	0	20
2025.01.02	07:50:00	2635.06	2635.29	2634.37	2634.41	389	0	20
2025.01.02	07:55:00	2634.40	2634.48	2633.96	2634.05	655	0	20
2025.01.02	08:00:00	2634.12	2634.12	2631.89	2632.59	664	0	20
2025.01.02	08:05:00	2632.59	2632.82	2631.74	2632.47	562	0	20
2025.01.02	08:10:00	2632.49	2632.89	2631.53	2631.74	424	0	20
2025.01.02	08:15:00	2631.76	2632.29	2631.26	2632.19	572	0	21
2025.01.02	08:20:00	2632.11	2633.17	2631.99	2633.08	475	0	22
2025.01.02	08:25:00	2633.08	2634.43	2632.97	2634.26	350	0	20
2025.01.02	08:30:00	2634.25	2634.47	2633.62	2633.74	309	0	20
2025.01.02	08:35:00	2633.74	2634.01	2633.41	2633.88	303	0	20
2025.01.02	08:40:00	2633.91	2634.59	2633.75	2634.04	528	0	22
2025.01.02	08:45:00	2634.07	2635.37	2633.63	2633.68	519	0	20
2025.01.02	08:50:00	2633.68	2634.50	2633.54	2634.06	383	0	20
2025.01.02	08:55:00	2634.04	2634.73	2633.86	2634.14	724	0	20
2025.01.02	09:00:00	2634.13	2634.30	2633.55	2634.29	839	0	20
2025.01.02	09:05:00	2634.23	2635.05	2634.13	2634.33	773	0	20
2025.01.02	09:10:00	2634.31	2634.88	2634.22	2634.33	389	0	20
2025.01.02	09:15:00	2634.29	2634.91	2633.46	2634.82	438	0	20
2025.01.02	09:20:00	2634.84	2635.43	2634.35	2635.43	555	0	20
2025.01.02	09:25:00	2635.43	2635.88	2634.30	2634.36	636	0	20
2025.01.02	09:30:00	2634.36	2634.36	2633.06	2633.27	650	0	20
2025.01.02	09:35:00	2633.29	2634.18	2633.04	2633.48	662	0	20
2025.01.02	09:40:00	2633.21	2634.06	2633.04	2633.66	229	0	20
2025.01.02	09:45:00	2633.69	2633.69	2633.02	2633.53	288	0	24
2025.01.02	09:50:00	2633.53	2634.75	2633.32	2634.63	374	0	20
